agency_name,agency_name_secondary,agency_address,agency_phone,agency_website,agency_wheelchair_access,available_beds,intake_open_appointments,populations_served,languages_spoken,last_updated,agency_hours_sunday_open,agency_hours_sunday_close,intake_hours_sunday_open,intake_hours_sunday_close,agency_hours_monday_open,agency_hours_monday_close,intake_hours_monday_open,intake_hours_monday_close,agency_hours_tuesday_open,agency_hours_tuesday_close,intake_hours_tuesday_open,intake_hours_tuesday_close,agency_hours_wednesday_open,agency_hours_wednesday_close,intake_hours_wednesday_open,intake_hours_wednesday_close,agency_hours_thursday_open,agency_hours_thursday_close,intake_hours_thursday_open,intake_hours_thursday_close,agency_hours_friday_open,agency_hours_friday_close,intake_hours_friday_open,intake_hours_friday_close,agency_hours_saturday_open,agency_hours_saturday_close,intake_hours_saturday_open,intake_hours_saturday_close
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Downtown Los Angeles Outpatient - San Pedro,"426 San Pedro Street,Los Angeles, CA 90013",(213) 626-6411,http://www.lacada.com/,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,Spanish,Last Updated: 8/13/2025 8:42:02 AM,Closed,Closed,,,08:00,21:00,,,08:00,19:30,,,08:00,19:30,,,08:00,21:00,,,07:30,16:00,,,07:30,16:00,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Downtown Los Angeles Outpatient,"305 South Central Avenue,Los Angeles, CA 90013",(213) 372-5233,http://www.lacada.com/,No,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,Spanish,Last Updated: 8/13/2025 8:42:02 AM,Closed,Closed,,,08:00,19:00,,,08:00,21:00,,,08:00,19:00,,,08:00,21:00,,,08:00,17:00,,,08:00,17:00,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,",Los Angeles, CA 90013",(213) 992-9686,http://www.lacada.com/,No,RBHAdult - F: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,L.A. CADA @ LA Mission,",Los Angeles, CA 90013",(213) 626-6411,http://www.lacada.com/,Yes,RBHAdult - M: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADAPT PROGRAM, INC.",,"1644 Wilshire Boulevard, Suite 101,Los Angeles, CA 90017",(213) 483-5703,https://www.adaptprogramdui.com,No,,,,EnglishSpanish,Last Updated: 5/17/2023 11:18:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADDICTION RESEARCH AND TREATMENT, INC.",,"1926 West Beverly Boulevard,Los Angeles, CA 90057",(213) 353-1140,https://www.medmark.com,Yes,,,Adult; M; A; T; Perinatal,ArmenianEnglishKoreanRussianSpanishTagalog,Last Updated: 11/20/2019 9:09:33 AM,07:00,11:00,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,07:00,11:00,,
"BAART BEHAVIORAL HEALTH SERVICES, INC.",,"1926 West Beverly Boulevard,Los Angeles, CA 90057",(213) 353-1140,https://www.baartprograms.com/,Yes,,,Adult; M; A; T; Perinatal,ArmenianEnglishKoreanRussianSpanishTagalog,Last Updated: 11/20/2022 11:09:48 PM,07:00,11:00,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,07:00,11:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Royal Palms,"360 South Westlake Avenue,Los Angeles, CA 90057",(213) 483-9202,https://www.socialmodelrecovery.org/,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,Adult; M; A; T; L; G; B; T; Q,EnglishSpanish,Last Updated: 8/12/2025 9:09:18 PM,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,
CLINICA MONSENOR OSCAR A. ROMERO,,"123 South Alvarado Street,Los Angeles, CA 90057",(323) 987-1034,https://www.clinicaromero.com,Yes,,,Youth; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/11/2025 9:00:53 AM,Closed,Closed,,,07:00,16:00,,,08:00,19:00,,,08:00,21:00,,,08:00,21:00,,,07:00,16:00,,,08:00,17:00,,
EXODUS RECOVERY INC.,Exodus Recovery SUD Outpatient Program,"1902 Marengo Street, Suite 109-110,Los Angeles, CA 90033",(323) 276-6450,https://www.exodusrecovery.com,No,,,Co-; Occurring; Mental; Health; Capabilities; Homeless,English,Last Updated: 8/14/2025 5:34:53 AM,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,Closed,Closed,,
